NAME,nufus
Güvenç Mh.,260
Alc? Mh.,258
Bac? Mh.,257
Temelli Mh.,257
Akarlar Mh.,257
Yayla Mh.,256
Alagöz Mh.,256
Yenihisar Mh.,253
Alt?nova Mh.,253
Karaköy Mh.,253
Bal?khisar Mh.,252
Saracalar Mh.,252
Kutludü?ün Mh.,251
Bay?nd?r Mh.,251
Davdanl? Mh.,249
Büyükdavdanl? Mh.,248
Da?kalafat Mh.,247
Susuz Mh.,247
Mahmuto?lan Mh.,245
K??lac?k Mh.,245
Çalseki Mh.,244
Ba?lum Mh.,243
Kösrelik Mh.,242
A?a??karaören Mh.,241
??dir Mh.,238
Memlik Mh.,236
Yakac?k Mh.,235
Karacakaya Mh.,234
Yuva Mh.,234
Susuz Mh.,234
Osmaniye Mh.,233
Yeniçim?it Mh.,233
Yenikent Mh.,232
Ço?lu Mh.,232
?ncirlik Mh.,230
Mülkköy Mh.,225
?lyakut Mh.,225
Akçaören Mh.,224
Yenikay? Mh.,223
Esenler Mh.,223
Çiçektepe Mh.,223
Tatlar Mh.,223
Polatlar Mh.,222
Sarayc?k Mh.,222
Yenipeçenek Mh.,220
A?a??yurtçu Mh.,220
Yukar?yurtçu Mh.,220
Ball?kuyumcu Mh.,219
Fevziye Mh.,219
?ehitali Mh.,218
Dodurga Mh.,218
Alacaatl? Mh.,218
Çayyolu Mh.,217
Oyaca Mh.,217
Dikilita? Mh.,215
?kizce Mh.,215
Beyaz?t Mh.,214
Ye?iltepe Mh.,214
Timurhan Mh.,212
Y?ld?r?m Mh.,212
Saray Mh.,212
Gümü?oluk Mh.,211
Feruz Mh.,211
Ahi Evran Mh.,208
Sincan OSB Mh.,207
Sar?koz Mh.,206
Derbent Mh.,206
Karapürçek Mh.,206
Ba?ak Mh.,205
K?rkkonaklar Mh.,205
Ye?ilkent Mh.,200
Ahmet Taner K??lal? Mh.,200
